work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
2023,Senior,Full-Time,Principal Data Scientist,85847,ES,Fully-remote,ES,Large
2023,Intermediate,Contract,ML Engineer,30000,US,Fully-remote,US,Small
2023,Intermediate,Contract,ML Engineer,25500,US,Fully-remote,US,Small
2023,Senior,Full-Time,Data Scientist,175000,CA,Fully-remote,CA,Medium
2023,Senior,Full-Time,Data Scientist,120000,CA,Fully-remote,CA,Medium
2023,Senior,Full-Time,Applied Scientist,222200,US,No-remote,US,Large
2023,Senior,Full-Time,Applied Scientist,136000,US,No-remote,US,Large
2023,Senior,Full-Time,Data Scientist,219000,CA,No-remote,CA,Medium
2023,Senior,Full-Time,Data Scientist,141000,CA,No-remote,CA,Medium
2023,Senior,Full-Time,Data Scientist,147100,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,90700,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Analyst,130000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Analyst,100000,US,Fully-remote,US,Medium
2023,Junior,Full-Time,Applied Scientist,213660,US,No-remote,US,Large
2023,Junior,Full-Time,Applied Scientist,130760,US,No-remote,US,Large
2023,Senior,Full-Time,Data Modeler,147100,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Modeler,90700,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,170000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,150000,US,No-remote,US,Medium
2023,Intermediate,Full-Time,Data Analyst,150000,US,Fully-remote,US,Medium
2023,Intermediate,Full-Time,Data Analyst,110000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Research Engineer,275000,DE,No-remote,DE,Medium
2023,Senior,Full-Time,Research Engineer,174000,DE,No-remote,DE,Medium
2023,Senior,Full-Time,Analytics Engineer,230000,GB,Fully-remote,GB,Medium
2023,Senior,Full-Time,Analytics Engineer,143200,GB,Fully-remote,GB,Medium
2023,Senior,Full-Time,Business Intelligence Engineer,225000,US,No-remote,US,Medium
2023,Senior,Full-Time,Business Intelligence Engineer,156400,US,No-remote,US,Medium
2023,Senior,Full-Time,Machine Learning Engineer,200000,US,No-remote,US,Medium
2023,Senior,Full-Time,Machine Learning Engineer,130000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Strategist,90000,CA,No-remote,CA,Medium
2023,Senior,Full-Time,Data Strategist,72000,CA,No-remote,CA,Medium
2023,Senior,Full-Time,Data Engineer,253200,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,90700,US,No-remote,US,Medium
2023,Senior,Full-Time,Computer Vision Engineer,342810,US,No-remote,US,Medium
2023,Senior,Full-Time,Computer Vision Engineer,184590,US,No-remote,US,Medium
2023,Intermediate,Full-Time,Data Engineer,162500,US,No-remote,US,Medium
2023,Intermediate,Full-Time,Data Engineer,130000,US,No-remote,US,Medium
2023,Intermediate,Full-Time,Data Analyst,105380,US,No-remote,US,Medium
2023,Intermediate,Full-Time,Data Analyst,64500,US,No-remote,US,Medium
2023,Junior,Full-Time,Data Quality Analyst,100000,NG,Fully-remote,NG,Large
2023,Junior,Full-Time,Compliance Data Analyst,30000,NG,Fully-remote,NG,Large
2022,Intermediate,Full-Time,Machine Learning Engineer,20984,IN,Partially-remote,IN,Large
2023,Junior,Full-Time,Applied Scientist,204620,US,No-remote,US,Large
2023,Junior,Full-Time,Applied Scientist,110680,US,No-remote,US,Large
2023,Senior,Full-Time,Data Engineer,270703,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,221484,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,212750,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,185000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,262000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,245000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,275300,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,183500,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,218500,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,199098,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,203300,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,123600,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Research Engineer,189110,US,No-remote,US,Medium
2023,Senior,Full-Time,Research Engineer,139000,US,No-remote,US,Medium
2023,Executive,Full-Time,Data Scientist,258750,US,No-remote,US,Medium
2023,Executive,Full-Time,Data Scientist,185000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,231500,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,166000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,172500,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,110500,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,238000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,176000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,237000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,201450,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Applied Scientist,309400,US,No-remote,US,Large
2023,Senior,Full-Time,Applied Scientist,159100,US,No-remote,US,Large
2023,Senior,Full-Time,Data Engineer,115000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,81500,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,237000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,201450,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Computer Vision Engineer,280000,US,No-remote,US,Medium
2023,Senior,Full-Time,Computer Vision Engineer,210000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Architect,280100,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Architect,168100,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,193500,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,139000,US,Fully-remote,US,Medium
2023,Intermediate,Full-Time,Data Scientist,65062,HK,No-remote,HK,Large
2023,Senior,Full-Time,Machine Learning Engineer,150000,PT,Fully-remote,US,Medium
2023,Intermediate,Full-Time,Applied Machine Learning Engineer,69751,IN,Fully-remote,DE,Small
2022,Junior,Full-Time,AI Developer,300000,IN,Partially-remote,IN,Large
2023,Intermediate,Full-Time,Machine Learning Engineer,96578,NL,Fully-remote,NL,Large
2023,Senior,Full-Time,Business Intelligence Engineer,185900,US,No-remote,US,Medium
2023,Senior,Full-Time,Business Intelligence Engineer,129300,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,225000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,175000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,185000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,140000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,48289,ES,No-remote,ES,Medium
2023,Senior,Full-Time,Data Scientist,38631,ES,No-remote,ES,Medium
2023,Senior,Full-Time,Data Scientist,105000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,70000,US,No-remote,US,Medium
2023,Junior,Full-Time,Machine Learning Engineer,163196,US,No-remote,US,Medium
2023,Junior,Full-Time,Machine Learning Engineer,145885,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,217000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,185000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Analyst,202800,US,No-remote,US,Large
2023,Senior,Full-Time,Data Analyst,104300,US,No-remote,US,Large
2023,Senior,Full-Time,Data Analyst,145000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Analyst,65000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,165000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,132300,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,179170,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,94300,US,No-remote,US,Medium
2023,Senior,Full-Time,Analytics Engineer,152500,US,No-remote,US,Medium
2023,Senior,Full-Time,Analytics Engineer,116450,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,247300,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,133800,US,No-remote,US,Medium
2023,Senior,Full-Time,Research Engineer,203000,US,No-remote,US,Medium
2023,Senior,Full-Time,Research Engineer,133000,US,No-remote,US,Medium
2023,Junior,Full-Time,Research Scientist,220000,US,Partially-remote,US,Large
2022,Junior,Full-Time,Machine Learning Engineer,56536,CH,Fully-remote,CH,Small
2023,Senior,Full-Time,Data Scientist,150000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,120000,US,No-remote,US,Medium
2023,Senior,Full-Time,Analytics Engineer,289800,US,No-remote,US,Medium
2023,Senior,Full-Time,Analytics Engineer,214000,US,No-remote,US,Medium
2023,Senior,Full-Time,Analytics Engineer,179820,US,No-remote,US,Medium
2023,Senior,Full-Time,Analytics Engineer,143860,US,No-remote,US,Medium
2023,Senior,Full-Time,Machine Learning Engineer,283200,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Machine Learning Engineer,188800,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Analytics Engineer,289800,US,No-remote,US,Medium
2023,Senior,Full-Time,Analytics Engineer,214200,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,185900,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,129300,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,252000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,129000,US,No-remote,US,Medium
2023,Intermediate,Full-Time,Data Analytics Manager,155000,US,No-remote,US,Medium
2023,Intermediate,Full-Time,Data Analytics Manager,140000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,161800,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,141600,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Machine Learning Engineer,342300,US,No-remote,US,Large
2023,Senior,Full-Time,Machine Learning Engineer,176100,US,No-remote,US,Large
2023,Intermediate,Full-Time,Data Engineer,100000,US,Fully-remote,US,Medium
2023,Intermediate,Full-Time,Data Engineer,70000,US,Fully-remote,US,Medium
2023,Junior,Full-Time,Data Engineer,85000,US,No-remote,US,Medium
2023,Junior,Full-Time,Data Engineer,65000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,138784,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,83270,US,Fully-remote,US,Medium
2023,Junior,Full-Time,Data Analyst,75000,US,No-remote,US,Medium
2023,Junior,Full-Time,Data Analyst,70000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Analyst,204500,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Analyst,138900,US,No-remote,US,Medium
2023,Senior,Full-Time,Machine Learning Engineer,318300,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Machine Learning Engineer,212200,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,95000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Engineer,75000,US,Fully-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,195000,US,No-remote,US,Medium
2023,Senior,Full-Time,Data Scientist,160000,US,No-remote,US,Medium
